iter	Logloss
250	0.2480755883
251	0.2480553766
252	0.248028868
253	0.2479999863
254	0.2479787927
255	0.2479661804
256	0.2479570005
257	0.247942078
258	0.2479257619
259	0.2479212932
260	0.2478967971
261	0.2478753233
262	0.2478612743
263	0.2478514727
264	0.2478302772
265	0.2478188677
266	0.247799199
267	0.2477869188
268	0.2477728084
269	0.2477578303
270	0.2477338828
271	0.2477198973
272	0.2477013187
273	0.2476730378
274	0.2476627607
275	0.2476487087
276	0.2476168647
277	0.2475891735
278	0.2475588392
279	0.2475450712
280	0.2475288904
281	0.247516217
282	0.2475034037
283	0.2474913866
284	0.2474761242
285	0.2474511836
286	0.2474279287
287	0.2474145783
288	0.2473992904
289	0.2473843714
290	0.2473656339
291	0.2473524246
292	0.2473395074
293	0.247327142
294	0.2473167706
295	0.2473013786
296	0.2472902256
297	0.2472812172
298	0.2472713536
299	0.2472526267
300	0.2472368986
301	0.2472253289
302	0.2472202477
303	0.2472147339
304	0.2472096557
305	0.2472029273
306	0.2471902708
307	0.2471837716
308	0.2471801629
309	0.2471665874
310	0.2471593618
311	0.2471474487
312	0.2471402003
313	0.2471265622
314	0.2471189272
315	0.2471077155
316	0.2470924445
317	0.2470822156
318	0.247075105
319	0.2470699841
320	0.2470622766
321	0.2470516592
322	0.2470314879
323	0.2470239652
324	0.2470168362
325	0.2470107947
326	0.2470039626
327	0.2469855128
328	0.2469755513
329	0.2469672027
330	0.2469634627
331	0.2469610245
332	0.2469558433
333	0.2469378751
334	0.2469209094
335	0.2468992242
336	0.2468907425
337	0.2468767922
338	0.2468684732
339	0.246859158
340	0.2468472175
341	0.2468382375
342	0.2468250294
343	0.246811387
344	0.2468051149
345	0.2467903734
346	0.2467701919
347	0.2467639956
348	0.2467555432
349	0.2467434168
350	0.2467342042
351	0.2467182188
352	0.2467078219
353	0.2467013696
354	0.2466927396
355	0.2466723329
356	0.2466616172
357	0.2466597986
358	0.2466467789
359	0.2466446071
360	0.2466337513
361	0.2466211368
362	0.2466102684
363	0.24660022
364	0.2465867726
365	0.2465718306
366	0.2465550447
367	0.2465474702
368	0.2465384086
369	0.2465280433
370	0.2465172918
371	0.2465085385
372	0.2465027822
373	0.2464932004
374	0.2464857512
375	0.2464832406
376	0.246472432
377	0.2464594509
378	0.2464449033
379	0.246438378
380	0.2464299195
381	0.2464275351
382	0.2464207715
383	0.2464020585
384	0.2463873821
385	0.2463773772
386	0.2463672912
387	0.246355385
388	0.24634415
389	0.2463349027
390	0.2463192652
391	0.2462990765
392	0.2462861966
393	0.2462731892
394	0.2462598956
395	0.2462535634
396	0.2462433788
397	0.2462379215
398	0.246229119
399	0.2462154517
400	0.2462028881
401	0.246187756
402	0.2461812191
403	0.2461767732
404	0.2461664979
405	0.2461583598
406	0.2461515998
407	0.2461449667
408	0.2461286792
409	0.246110324
410	0.2461024957
411	0.2460877092
412	0.2460756598
413	0.2460707754
414	0.2460675544
415	0.246055385
416	0.2460452534
417	0.2460402344
418	0.2460304005
419	0.2460230201
420	0.2460152951
421	0.2460089094
422	0.2459967709
423	0.2459891143
424	0.245976866
425	0.245961231
426	0.2459381171
427	0.2459268877
428	0.2459137652
429	0.2459038027
430	0.245893455
431	0.2458870988
432	0.2458725296
433	0.2458519065
434	0.2458366976
435	0.2458263668
436	0.2458144158
437	0.2458086987
438	0.2457912119
439	0.2457817454
440	0.245760075
441	0.2457517889
442	0.2457373604
443	0.2457279578
444	0.2457221798
445	0.2457133045
446	0.245703319
447	0.2456995761
448	0.2456913039
449	0.2456682142
450	0.245657793
451	0.245646539
452	0.245636361
453	0.2456288559
454	0.2456164174
455	0.2455994864
456	0.2455859486
457	0.2455760514
458	0.2455636293
459	0.2455532477
460	0.2455455489
461	0.245534823
462	0.2455244965
463	0.2455085313
464	0.2454912887
465	0.245472607
466	0.2454711379
467	0.2454638117
468	0.2454564896
469	0.245441021
470	0.2454335838
471	0.2454211619
472	0.2454125433
473	0.2453948939
474	0.2453770455
475	0.2453496053
476	0.2453347342
477	0.2453178292
478	0.2452994702
479	0.2452885636
480	0.2452782665
481	0.2452707317
482	0.2452592916
483	0.2452540545
484	0.2452436877
485	0.2452427488
486	0.2452256106
487	0.2452167251
488	0.2452115595
489	0.2451981193
490	0.2451832017
491	0.2451747339
492	0.2451612344
493	0.2451505629
494	0.2451381462
495	0.2451275628
496	0.245116302
497	0.2451077727
498	0.2450987802
499	0.2450813955
500	0.2450652521
501	0.2450539022
502	0.2450356725
503	0.2450282973
504	0.245021527
505	0.2450169263
506	0.2450057534
507	0.2449905468
508	0.2449688245
509	0.2449642359
510	0.2449517267
511	0.2449329099
512	0.2449266064
513	0.2449170347
514	0.244902421
515	0.2448887575
516	0.2448815707
517	0.2448719714
518	0.2448592036
519	0.2448491065
520	0.2448467794
521	0.2448378217
522	0.2448347135
523	0.2448205042
524	0.2448094194
525	0.2448008268
526	0.2447919982
527	0.2447826827
528	0.244773756
529	0.2447587563
530	0.244744719
531	0.2447305188
532	0.2447178328
533	0.244703114
534	0.2446977624
535	0.2446907949
536	0.2446801839
537	0.2446661026
538	0.2446514857
539	0.2446400158
540	0.2446306822
541	0.2446237826
542	0.2446079416
543	0.2445992588
544	0.2445898692
545	0.2445810126
546	0.2445745305
547	0.2445672761
548	0.2445595507
549	0.2445525901
550	0.2445442938
551	0.2445414395
552	0.2445343541
553	0.2445207597
554	0.2445105991
555	0.2445040374
556	0.2445002878
557	0.2444981273
558	0.2444935079
559	0.2444837423
560	0.2444708105
561	0.2444614385
562	0.2444506512
563	0.2444353084
564	0.2444190953
565	0.2444165453
566	0.2444036598
567	0.244395114
568	0.244387835
569	0.2443862651
570	0.2443769159
571	0.2443634147
572	0.2443561194
573	0.2443478752
574	0.2443377662
575	0.2443219505
576	0.244312758
577	0.2443035964
578	0.2442918218
579	0.244284376
580	0.2442762748
581	0.2442692492
582	0.2442623834
583	0.244259422
584	0.2442533497
585	0.2442458187
586	0.2442368862
587	0.2442311958
588	0.2442236678
589	0.2442101167
590	0.2442024312
591	0.2441928612
592	0.2441772354
593	0.2441695991
594	0.2441634013
595	0.2441588738
596	0.2441481171
597	0.2441289847
598	0.2441266138
599	0.2441197281
600	0.2441067841
601	0.2440982301
602	0.2440899095
603	0.244083109
604	0.2440704765
605	0.2440632632
606	0.2440508402
607	0.244040721
608	0.2440339511
609	0.2440303711
610	0.2440212546
611	0.2440153603
612	0.2440053148
613	0.2439967575
614	0.2439888383
615	0.2439824786
616	0.2439726108
617	0.2439620424
618	0.2439570973
619	0.2439489663
620	0.2439423492
621	0.2439375658
622	0.2439294058
623	0.2439193947
624	0.2439109369
625	0.2439070963
626	0.2438962545
627	0.2438860262
628	0.2438778343
629	0.2438696211
630	0.2438563555
631	0.2438483989
632	0.2438437275
633	0.2438356307
634	0.2438301049
635	0.2438238501
636	0.2438111387
637	0.2438049119
638	0.2438008299
639	0.2437913629
640	0.2437801375
641	0.2437740856
642	0.243772753
643	0.2437697813
644	0.2437594148
645	0.2437536262
646	0.2437515355
647	0.2437472507
648	0.2437397016
649	0.2437323478
650	0.2437274971
651	0.243721356
652	0.2437071004
653	0.2437005706
654	0.2436893778
655	0.2436827871
656	0.2436803078
657	0.2436700364
658	0.2436695718
659	0.2436681568
660	0.2436611785
661	0.2436522189
662	0.2436434908
663	0.2436358674
664	0.2436291323
665	0.2436128106
666	0.2436022253
667	0.2435936331
668	0.2435823225
669	0.2435795815
670	0.2435788741
671	0.2435731704
672	0.2435728092
673	0.2435640493
674	0.2435583078
675	0.2435535009
676	0.2435462836
677	0.2435387011
678	0.2435319112
679	0.2435285163
680	0.2435282275
681	0.2435130967
682	0.2435102324
683	0.2435065697
684	0.2434983342
685	0.2434980765
686	0.2434941434
687	0.2434826637
688	0.243476704
689	0.243472516
690	0.2434671618
691	0.2434546395
692	0.243448457
693	0.2434436686
694	0.243434723
695	0.2434318492
696	0.2434252836
697	0.2434219686
698	0.2434168419
699	0.2434143094
700	0.2434056478
701	0.2433963259
702	0.2433900628
703	0.2433850712
704	0.2433803723
705	0.2433645939
706	0.2433487762
707	0.2433443331
708	0.2433376439
709	0.2433301256
710	0.2433199559
711	0.2433132007
712	0.2433057012
713	0.2432993683
714	0.243289777
715	0.2432826331
716	0.2432824797
717	0.2432681738
718	0.2432606961
719	0.2432568097
720	0.2432459059
721	0.243236894
722	0.2432334243
723	0.2432326929
724	0.2432248332
725	0.2432246889
726	0.2432238977
727	0.2432203234
728	0.2432187628
729	0.2432104409
730	0.2432017689
731	0.2431952616
732	0.2431857188
733	0.2431792872
734	0.2431717436
735	0.2431704902
736	0.243159449
737	0.2431576743
738	0.2431545171
739	0.2431508349
740	0.2431445325
741	0.2431389888
742	0.2431320764
743	0.2431247184
744	0.2431192779
745	0.2431106271
746	0.2431067485
747	0.2430958497
748	0.2430874713
749	0.2430843098
750	0.2430790794
751	0.2430769291
752	0.2430757956
753	0.2430659124
754	0.2430524404
755	0.2430478045
756	0.2430463324
757	0.2430420825
758	0.243036279
759	0.2430302531
760	0.2430239706
761	0.2430205246
762	0.2430159844
763	0.2430076309
764	0.2429946186
765	0.2429906811
766	0.2429870093
767	0.2429794802
768	0.2429755611
769	0.2429681242
770	0.2429639008
771	0.2429596507
772	0.2429491177
773	0.242941885
774	0.24292935
775	0.2429157404
776	0.2429095581
777	0.2429061472
778	0.2428972201
779	0.2428921438
780	0.2428871861
781	0.2428799301
782	0.2428757813
783	0.2428687334
784	0.2428668554
785	0.2428636088
786	0.2428607113
787	0.2428595813
788	0.2428588374
789	0.2428563821
790	0.2428488386
791	0.2428468322
792	0.2428434898
793	0.2428424297
794	0.2428406764
795	0.2428285613
796	0.2428198185
797	0.242817183
798	0.2428143689
799	0.2428053334
800	0.2428026684
801	0.2427947022
802	0.2427924713
803	0.2427815695
804	0.2427764817
805	0.242771699
806	0.2427655902
807	0.2427622847
808	0.2427592137
809	0.2427544017
810	0.2427446868
811	0.242732812
812	0.2427308048
813	0.2427205534
814	0.2427174485
815	0.2427109452
816	0.2427042203
817	0.2427013869
818	0.2426899032
819	0.2426854357
820	0.2426836571
821	0.2426808982
822	0.242674921
823	0.2426666933
824	0.2426577678
825	0.2426540883
826	0.2426481679
827	0.2426472524
828	0.2426432378
829	0.2426346828
830	0.242627253
831	0.2426203935
832	0.2426113768
833	0.2426033391
834	0.2425980225
835	0.2425917483
836	0.2425851905
837	0.2425815176
838	0.2425789021
839	0.2425720629
840	0.2425618016
841	0.2425548787
842	0.2425528495
843	0.2425415001
844	0.2425353251
845	0.2425304178
846	0.2425195166
847	0.2425112176
848	0.2425035609
849	0.2424939113
850	0.2424846509
851	0.2424792185
852	0.242472793
853	0.2424710884
854	0.2424661653
855	0.2424619328
856	0.2424551663
857	0.2424502153
858	0.2424436153
859	0.2424357341
860	0.2424307856
861	0.2424249824
862	0.2424102417
863	0.2424038811
864	0.2424013333
865	0.2423994851
866	0.2423942274
867	0.2423917041
868	0.2423881181
869	0.242383337
870	0.2423818769
871	0.2423765274
872	0.2423712654
873	0.2423670525
874	0.24236297
875	0.2423541213
876	0.2423432661
877	0.2423317744
878	0.242329243
879	0.2423278264
880	0.2423182601
881	0.2423150642
882	0.2423032909
883	0.2422985616
884	0.2422949167
885	0.2422867494
886	0.2422811425
887	0.2422757163
888	0.2422682667
889	0.242259314
890	0.2422582107
891	0.2422524418
892	0.2422417097
893	0.2422351643
894	0.2422269987
895	0.2422268614
896	0.2422256442
897	0.2422206763
898	0.2422141873
899	0.242198795
900	0.2421971217
901	0.2421887108
902	0.2421821849
903	0.2421778239
904	0.2421673206
905	0.2421641298
906	0.2421592272
907	0.2421568287
908	0.2421533463
909	0.2421510534
910	0.2421416034
911	0.2421374656
912	0.2421326644
913	0.2421288073
914	0.2421267431
915	0.2421244564
916	0.2421191543
917	0.2421120696
918	0.2421051356
919	0.2420978065
920	0.2420950794
921	0.2420898906
922	0.2420828825
923	0.2420792951
924	0.2420778319
925	0.2420623061
926	0.2420598886
927	0.2420570298
928	0.2420544427
929	0.2420496794
930	0.2420465784
931	0.2420388721
932	0.242034332
933	0.2420282258
934	0.2420252119
935	0.2420206352
936	0.242016435
937	0.2420117457
938	0.2420094773
939	0.2420055657
940	0.2419989182
941	0.2419960072
942	0.2419843092
943	0.2419800392
944	0.241973786
945	0.2419684357
946	0.2419680653
947	0.2419655924
948	0.2419617151
949	0.241956156
950	0.2419534881
951	0.2419434669
952	0.2419404029
953	0.2419321277
954	0.2419232702
955	0.2419176914
956	0.2419132432
957	0.2419029038
958	0.2418942369
959	0.2418938377
960	0.2418872269
961	0.2418809722
962	0.2418753667
963	0.2418699764
964	0.2418632698
965	0.2418598736
966	0.2418537409
967	0.2418471892
968	0.241842504
969	0.2418421138
970	0.2418387046
971	0.2418333867
972	0.2418314085
973	0.2418257634
974	0.2418146954
975	0.2418069569
976	0.2417965294
977	0.2417864511
978	0.2417757538
979	0.2417689673
980	0.2417619482
981	0.2417515691
982	0.2417422714
983	0.2417392749
984	0.2417390504
985	0.2417333313
986	0.2417238849
987	0.2417219707
988	0.241717869
989	0.2417172566
990	0.2417145333
991	0.2417056245
992	0.2417035977
993	0.2416934627
994	0.2416903127
995	0.2416836958
996	0.2416753776
997	0.2416751699
998	0.2416678036
999	0.2416642141
